CompanyID,Company,Size,Profit,Industry
1,SPBSERE,322,66,Health
2,MYGLOLLSJ,399,87,Health
3,TIARHBRLK,481,70,Health
4,RQONOZ,301,38,Finance
5,MUYJBPD,227,79,Health
6,INBAWT,324,13,Tech
7,JFVJDAQIS,439,50,Tech
8,KZQMGX,235,93,Tech
9,ISBZZX,424,66,Tech
10,PNJSQOLJK,141,85,Finance
11,LOKLATBD,459,66,Health
12,PDOOVNYXQ,449,83,Health
13,TQSMIE,438,28,Health
14,AMLVM,263,33,Finance
15,FEIDOWJ,244,23,Finance
16,ZBTGOMPPD,211,73,Finance
17,BIIGZET,378,43,Health
18,RDMDVPKK,164,90,Finance
19,VTXNG,256,71,Finance
20,XEOXRWYH,390,76,Finance
21,KQUMBNNZU,453,46,Health
22,JKUTUFYRU,266,59,Tech
23,IEOIBKYJ,419,34,Tech
24,TEVZZ,252,62,Finance
25,DOKYEW,52,92,Tech
26,RDCIXZ,266,94,Finance
27,EPQZGUDGG,192,40,Finance
28,NECXNRKIO,183,84,Finance
29,JTATSY,469,48,Tech
30,COIYDJ,173,22,Health
31,NNWVPI,213,50,Tech
32,GCSFAK,274,21,Health
33,SDOGKSE,100,71,Finance
34,DMSIVSE,473,88,Finance
35,UCXLRS,385,83,Finance
36,LZHXPFVJA,209,68,Health
37,MZZSB,157,69,Finance
38,NNJOZZBS,329,78,Finance
39,CMQREUZH,278,55,Health
40,LOKYCSH,54,97,Tech
41,AVRZYLAF,334,10,Tech
42,IRYJNNGD,238,40,Tech
43,OIAPQGET,445,23,Tech
44,JXLDIK,380,43,Finance
45,LOHJRA,366,75,Finance
46,LHEBTHYE,403,19,Health
47,IUOGVGS,270,59,Health
48,IXFVBSI,259,67,Tech
49,DBTJV,469,73,Finance
50,EIEZIDRW,100,91,Health
51,RTJWJOEHR,288,87,Health
52,BDKFUED,376,55,Tech
53,KYBCAV,216,31,Finance
54,QNKYFMX,415,96,Finance
55,CNSMEIUX,364,56,Finance
56,TQGZTFVVY,290,25,Health
57,ZVKCWN,153,60,Finance
58,LZIKSWIY,445,54,Tech
59,QOVXGX,131,41,Finance
60,VDQFGM,56,27,Tech
61,ASWDNP,175,56,Health
62,LFLHVWCV,496,95,Finance
63,EIOOEFI,265,48,Health
64,YSMGEEZR,327,93,Tech
65,CNWAPKI,253,55,Finance
66,VTYEDFTJN,287,47,Tech
67,BVPYOMJ,391,55,Finance
68,ISNUHV,279,82,Health
69,EPQBNV,356,14,Finance
70,VLQFU,211,57,Tech
71,HIQLPC,339,42,Tech
72,MNNDOIOS,95,79,Finance
73,BZLWTIURW,309,84,Health
74,UYNZF,458,72,Finance
75,MJWDJIC,294,15,Finance
76,DZCPWQQ,356,64,Tech
77,HNSEAJ,375,95,Finance
78,KAMZKFBR,330,98,Finance
79,NWGTV,336,51,Tech
80,BLRNROQRF,150,41,Finance
81,GVSIZ,472,18,Health
82,UJNQXYGE,306,46,Finance
83,EQHMHQDW,240,88,Tech
84,JEPZSPM,364,37,Finance
85,OPAATRY,383,97,Health
86,ZTJHW,260,72,Health
87,ASEKRM,335,67,Finance
88,ROSBOUFFG,80,31,Health
89,JBRKZXNZ,320,14,Tech
90,ETRBTDK,353,40,Health
91,YFBGUZN,438,19,Tech
92,TRSUO,70,77,Health
93,ENFRYISPK,448,24,Tech
94,ETHOR,284,66,Health
95,STDAC,413,78,Finance
96,FHRKCT,398,11,Finance
97,JWPUKLEB,419,63,Tech
98,QUVMAJKNC,181,40,Tech
99,TTQXM,228,22,Finance
100,XOQVAIQI,99,69,Health
101,GUZMJPZNF,199,15,Health
102,LJWYYJLS,296,25,Health
103,NMMWQHEBQ,78,16,Health
104,LDEGEJK,353,97,Tech
105,SVQAWB,315,56,Finance
106,PUXBWYBQ,355,18,Tech
107,HEQSLLJ,258,11,Health
108,ANEATOYR,377,45,Tech
109,XDLYZI,138,79,Health
110,SOMSTVYEQ,486,50,Finance
111,SEGJI,347,72,Tech
112,QISIW,275,40,Health
113,KOTAN,287,97,Finance
114,WSHRFDL,273,25,Health
115,FIGGNMOUE,135,78,Health
116,BNQLTZB,268,43,Finance
117,VSNYBA,109,52,Finance
118,TPUCPU,220,23,Tech
119,VNEXWKKIB,385,52,Health
120,JCXLWY,124,13,Tech
121,JQAEOU,284,15,Tech
122,ZZTSXU,92,18,Health
123,YJTNYFV,466,13,Tech
124,EFENMSJH,331,50,Health
125,LSFRBLJ,177,92,Finance
126,NBAPANXH,180,74,Tech
