InvestorID,Investor,RiskTolerance,TimeHorizon,IncomeNeeds,LiquidityNeeds,TaxConsiderations,AccountType,Age,InvestmentExperience,OtherAssets,RiskCapacity
1,NKYWMDI,High,Short term,99317,Low,No,Taxable,69,Novice,517824,Low
2,XXJAVAO,High,Long term,179685,Moderate,Yes,IRA,68,Experienced,561371,High
3,QLRCUVVV,Low,Short term,94268,High,No,401k,66,Novice,811498,Moderate
4,BBXLL,Moderate,Long term,70071,Low,No,401k,53,Experienced,254560,High
5,QHKLWOL,Low,Medium term,56600,Moderate,No,Taxable,73,Experienced,972287,High
6,WJSDC,Low,Medium term,180997,Low,No,IRA,60,Novice,421624,High
7,MUZWBG,Low,Short term,89169,High,Yes,Taxable,70,Novice,684840,Moderate
8,NQMIGZM,High,Long term,157173,Low,Yes,401k,46,Novice,757745,High
9,CCHALHSIA,Moderate,Medium term,84919,Moderate,Yes,IRA,52,Novice,943590,High
10,FGKCMHIR,Moderate,Short term,63731,High,Yes,401k,37,Experienced,772829,Low
11,MGMLTYKSU,Moderate,Medium term,165699,Low,No,Taxable,37,Experienced,124959,High
12,YTZDCHM,Low,Short term,126001,High,Yes,Taxable,62,Experienced,824370,Low
13,TOPNUF,Moderate,Long term,142002,Low,No,Taxable,36,Experienced,150621,Low
14,AJPFN,High,Long term,91435,Moderate,No,Taxable,47,Novice,627231,High
15,REPDPUW,High,Long term,109338,Low,Yes,IRA,47,Novice,278387,Low
16,GDWRN,Low,Short term,158956,Moderate,No,401k,67,Experienced,429328,Moderate
17,FBUSXX,High,Short term,181582,Low,Yes,Taxable,39,Novice,174202,High
18,QYTLPPOUI,High,Medium term,198617,Low,No,IRA,26,Novice,963918,High
19,MHACAVY,Low,Medium term,105722,Moderate,No,IRA,47,Novice,105480,Moderate
20,WNMWM,High,Short term,108567,Moderate,No,IRA,29,Novice,404084,Moderate
21,XLROAM,High,Long term,165538,Low,No,IRA,50,Novice,296253,High
22,VXJRIENRZ,Low,Medium term,57891,High,Yes,401k,34,Novice,546551,Low
23,GZGMDO,Low,Short term,69139,Moderate,No,401k,51,Experienced,241690,High
24,WGOYXHOU,Moderate,Medium term,116393,Moderate,Yes,Taxable,30,Experienced,582611,Moderate
25,INZYI,Moderate,Long term,110472,High,No,Taxable,26,Experienced,930878,Low
26,AUNSO,High,Medium term,196306,Low,No,Taxable,38,Novice,548452,Low
27,QCJQXTIIE,High,Short term,186505,Moderate,No,401k,69,Experienced,683703,High
28,DYASG,Moderate,Medium term,81611,High,Yes,IRA,54,Novice,286181,High
29,PQMUVBU,High,Medium term,102720,Low,Yes,Taxable,38,Novice,324161,Low
30,TFDIMVIH,Moderate,Long term,125957,High,No,IRA,34,Novice,630924,Low
31,WNPOSDJPY,High,Long term,98783,High,No,IRA,26,Novice,321885,High
32,PYXFNP,Moderate,Short term,176248,Moderate,No,401k,72,Novice,701455,High
33,XIKOTAHWW,Low,Short term,101937,Moderate,No,401k,42,Experienced,145438,Low
34,ONPAQLO,Moderate,Short term,167127,High,No,Taxable,33,Novice,417164,Low
35,YXNQZG,Moderate,Medium term,111980,Low,No,IRA,33,Experienced,979380,Low
36,MRECJ,High,Short term,91215,High,No,IRA,33,Experienced,915583,Moderate
37,AAKVHO,High,Medium term,87417,Low,Yes,IRA,45,Novice,824853,High
38,POQLAGKST,Moderate,Medium term,126251,Low,Yes,Taxable,51,Novice,858104,High
39,EZQAWJUQ,High,Long term,86745,Low,No,401k,60,Experienced,865310,High
40,RXXDDSG,Low,Medium term,170827,Low,No,Taxable,53,Experienced,861417,Low
41,TZWKT,High,Short term,91940,High,Yes,IRA,48,Novice,510397,Moderate
